SOURCE: C:\Users\Asus\AppData\Local\Temp\aionui\general\浙江企服增员信息表-入职导入模板01(2).xlsx
TYPE: .xlsx
EXTRACTED_AT: 2026-07-29T17:43:54.4636057+08:00
====================================================================================================
=== Sheet: 浙江企服增员信息表 ===
[/浙江企服增员信息表/row[1]] A1=客户名称	B1=客户代码	C1=外包类型	D1=岗位	E1=姓名	F1=身份证号码（护照）	G1=性别	H1=出生日期	I1=年龄	J1=户籍性质	K1=民族	L1=移动电话	M1=电子邮件	N1=现住地址	O1=户籍地址	P1=邮编	Q1=合同期限形式	R1=合同期限	S1=合同开始日期	T1=合同终止日期	U1=试用期开始日期	V1=试用期（月）	W1=试用期结束日期	X1=工作城市	Y1=工时制	Z1=工作制周期	AA1=工资形式	AB1=基本工资	AC1=其他工资	AD1=试用期工资	AE1=发薪周期	AF1=发薪日期	AG1=参保地	AH1=起始月	AI1=社保基数	AJ1=公积金基数	AK1=公积金比例	AL1=开户银行信息	AM1=银行借记卡帐号	AN1=备注	AO1=业务模式	AP1=人员类型	AQ1=是否企服发起劳动合同	AR1=劳动合同主体	AS1=劳动合同模板（标准模板 / 特殊模板）	AT1=劳动合同签署是否需要催办员工	AU1=劳动合同签订反馈	AV1=入职材料是否需要集约收集	AW1=入职联系反馈	AX1=是否企服发薪	AY1=发薪地	AZ1=社保公积金未办是否需要催办	BA1=特殊备注	BB1=数据录入反馈
[/浙江企服增员信息表/row[2]] A2=腾讯	B2=CH3333	C2=全风险	D2=人事	E2=王一	F2=333999198801010010	G2=男	H2=32143	I2=38	J2=城镇户口	K2=汉族	L2=13391001901	M2=123@qq.com	N2=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O2=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P2=518000	Q2=固定期限	R2=2	S2=46125	T2=46489	U2=46125	V2=3	W2=46215	X2=杭州	Y2=标准工时制	Z2=2	AA2=按月	AB2=5000	AC2=2000	AD2=3500	AE2=当月	AF2=10号	AG2=杭州市	AH2=4	AI2=5000	AJ2=5000	AK2=5	AL2=杭州银行	AM2=7788168168168	AN2=	AO2=北仑自营	AP2=全日制	AQ2=是	AR2=浙江企服	AS2=标准模板	AT2=是	AU2=	AV2=是	AW2=	AX2=否	AY2=浙江企服
[/浙江企服增员信息表/row[3]] A3=阿里	B3=CH4444	C3=风险后置	D3=运营	E3=李二	F3=333999198801010011	G3=女	H3=32143	I3=38	J3=城镇户口	K3=土家族	L3=13391001902	M3=123@qq.com	N3=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O3=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P3=518000	Q3=无固定期限	R3=3	S3=46125	T3=46489	U3=46125	V3=3	W3=46215	X3=杭州	Y3=标准工时制	Z3=2	AA3=按月	AB3=3000	AC3=2001	AD3=2501	AE3=次月	AF3=1号	AG3=长沙市	AH3=4	AI3=3000	AJ3=3000	AK3=5	AL3=杭州银行	AM3=7788168168169	AO3=转外包	AP3=全日制	AQ3=是	AR3=上海外服	AS3=特殊模板	AT3=否	AV3=是	AX3=否	AY3=浙江企服
[/浙江企服增员信息表/row[4]] A4=字节	B4=CH5555	C4=部分风险	D4=财务	E4=张三	F4=333999198801010012	G4=女	H4=32143	I4=38	J4=城镇户口	K4=白族	L4=13391001903	M4=123@qq.com	N4=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O4=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P4=518000	Q4=固定期限	R4=2	S4=46125	T4=46489	U4=46125	V4=4	W4=46246	X4=杭州	Y4=标准工时制	Z4=2	AA4=按月	AB4=7000	AC4=2002	AD4=6502	AE4=当月	AF4=15号	AG4=南昌市	AH4=4	AI4=7000	AJ4=7000	AK4=5	AL4=杭州银行	AM4=7788168168162	AO4=转外包	AP4=全日制	AQ4=是	AR4=上海外服	AS4=特殊模板	AT4=否	AV4=是	AX4=否	AY4=浙江企服
[/浙江企服增员信息表/row[5]] A5=百度	B5=CH6666	C5=部分风险	D5=行政	E5=赵四	F5=333999198801010013	G5=男	H5=32143	I5=38	J5=城镇户口	K5=蒙古族	L5=13391001905	M5=123@qq.com	N5=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O5=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P5=518000	Q5=无固定期限	R5=3	S5=46125	T5=46489	U5=46125	V5=3	W5=46215	X5=杭州	Y5=标准工时制	Z5=2	AA5=按月	AB5=6000	AC5=2003	AD5=5503	AE5=次月	AF5=20号	AG5=南京市	AH5=4	AI5=6000	AJ5=6000	AK5=5	AL5=杭州银行	AM5=7788168168163	AO5=转外包	AP5=退休返聘	AQ5=是	AR5=浙江企服	AS5=标准模板	AT5=否	AV5=是	AX5=否	AY5=浙江企服
[/浙江企服增员信息表/row[6]] A6=网易	B6=CH7777	C6=风险后置	D6=销售	E6=刘武	F6=333999198801010014	G6=男	H6=32143	I6=38	J6=城镇户口	K6=满族	L6=13391001904	M6=123@qq.com	N6=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O6=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P6=518000	Q6=固定期限	R6=3	S6=46125	T6=46489	U6=46125	V6=6	W6=46307	X6=杭州	Y6=标准工时制	Z6=2	AA6=按月	AB6=7000	AC6=2004	AD6=6504	AE6=当月	AF6=30号	AG6=深圳市	AH6=4	AI6=7000	AJ6=7000	AK6=5	AL6=杭州银行	AM6=7788168168164	AO6=北仑自营	AP6=全日制	AQ6=是	AR6=浙江企服	AS6=标准模板	AT6=是	AV6=否	AX6=否	AY6=上海外服
[/浙江企服增员信息表/row[7]] A7=华为	B7=CH7778	C7=风险后置	D7=销售	E7=一二	F7=333999198801022	G7=男	H7=32143	I7=38	J7=城镇户口	K7=满族	L7=13391001904	M7=123@qq.com	N7=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O7=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P7=518000	Q7=固定期限	R7=3	S7=46125	T7=46489	U7=46125	V7=6	W7=46307	X7=杭州	Y7=标准工时制	Z7=2	AA7=按月	AB7=7000	AC7=2004	AD7=6504	AE7=当月	AF7=30号	AG7=深圳市	AH7=4	AI7=7000	AJ7=7000	AK7=5	AL7=杭州银行	AM7=7788168168164	AO7=北仑自营	AP7=全日制	AQ7=是	AR7=浙江企服	AS7=标准模板	AT7=是	AV7=否	AX7=否	AY7=上海外服
[/浙江企服增员信息表/row[8]] A8=小米	B8=CH7779	C8=风险后置	D8=销售	E8=三思	F8=3339991981110014	G8=男	H8=32143	I8=38	J8=城镇户口	K8=满族	L8=13391001904	M8=123@qq.com	N8=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O8=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P8=518000	Q8=固定期限	R8=3	S8=46125	T8=46489	U8=46125	V8=6	W8=46307	X8=杭州	Y8=标准工时制	Z8=2	AA8=按月	AB8=7000	AC8=2004	AD8=6504	AE8=当月	AF8=30号	AG8=深圳市	AH8=4	AI8=7000	AJ8=7000	AK8=5	AL8=杭州银行	AM8=7788168168164	AO8=北仑自营	AP8=全日制	AQ8=否	AR8=浙江企服	AS8=标准模板	AT8=是	AV8=是	AX8=否	AY8=上海外服
[/浙江企服增员信息表/row[9]] A9=oppo	B9=CH7780	C9=风险后置	D9=销售	E9=物流	F9=333301010014	G9=男	H9=32143	I9=38	J9=城镇户口	K9=满族	L9=13391001904	M9=123@qq.com	N9=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O9=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P9=518000	Q9=固定期限	R9=3	S9=46125	T9=46489	U9=46125	V9=6	W9=46307	X9=杭州	Y9=标准工时制	Z9=2	AA9=按月	AB9=7000	AC9=2004	AD9=6504	AE9=当月	AF9=30号	AG9=深圳市	AH9=4	AI9=7000	AJ9=7000	AK9=5	AL9=杭州银行	AM9=7788168168164	AO9=北仑自营	AP9=全日制	AQ9=否	AR9=浙江企服	AS9=标准模板	AT9=是	AV9=是	AX9=否	AY9=上海外服
[/浙江企服增员信息表/row[10]] A10=vivo	B10=CH7781	C10=风险后置	D10=销售	E10=七八	F10=33399919441010014	G10=男	H10=32143	I10=38	J10=城镇户口	K10=满族	L10=13391001904	M10=123@qq.com	N10=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O10=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P10=518000	Q10=固定期限	R10=3	S10=46125	T10=46489	U10=46125	V10=6	W10=46307	X10=杭州	Y10=标准工时制	Z10=2	AA10=按月	AB10=7000	AC10=2004	AD10=6504	AE10=当月	AF10=30号	AG10=深圳市	AH10=4	AI10=7000	AJ10=7000	AK10=5	AL10=杭州银行	AM10=7788168168164	AO10=北仑自营	AP10=全日制	AQ10=是	AR10=浙江企服	AS10=标准模板	AT10=是	AV10=否	AX10=否	AY10=上海外服
[/浙江企服增员信息表/row[11]] A11=苹果	B11=CH7782	C11=风险后置	D11=销售	E11=就是	F11=333999198801014414	G11=男	H11=32143	I11=38	J11=城镇户口	K11=满族	L11=13391001904	M11=123@qq.com	N11=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O11=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P11=518000	Q11=固定期限	R11=3	S11=46125	T11=46489	U11=46125	V11=6	W11=46307	X11=杭州	Y11=标准工时制	Z11=2	AA11=按月	AB11=7000	AC11=2004	AD11=6504	AE11=当月	AF11=30号	AG11=深圳市	AH11=4	AI11=7000	AJ11=7000	AK11=5	AL11=杭州银行	AM11=7788168168164	AO11=北仑自营	AP11=全日制	AQ11=是	AR11=浙江企服	AS11=标准模板	AT11=是	AV11=否	AX11=否	AY11=上海外服
[/浙江企服增员信息表/row[12]] A12=三星	B12=CH7783	C12=风险后置	D12=销售	E12=十九	F12=3339991988014310014	G12=男	H12=32143	I12=38	J12=城镇户口	K12=满族	L12=13391001904	M12=123@qq.com	N12=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O12=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P12=518000	Q12=固定期限	R12=3	S12=46125	T12=46489	U12=46125	V12=6	W12=46307	X12=杭州	Y12=标准工时制	Z12=2	AA12=按月	AB12=7000	AC12=2004	AD12=6504	AE12=当月	AF12=30号	AG12=深圳市	AH12=4	AI12=7000	AJ12=7000	AK12=5	AL12=杭州银行	AM12=7788168168164	AO12=北仑自营	AP12=全日制	AQ12=否	AR12=浙江企服	AS12=标准模板	AT12=是	AV12=是	AX12=否	AY12=上海外服
[/浙江企服增员信息表/row[13]] A13=一加	B13=CH7784	C13=风险后置	D13=销售	E13=霸气	F13=333999198801013214	G13=男	H13=32143	I13=38	J13=城镇户口	K13=满族	L13=13391001904	M13=123@qq.com	N13=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	O13=浙江省杭州市西湖区翠柏路学苑华庭14幢2单元1801	P13=518000	Q13=固定期限	R13=3	S13=46125	T13=46489	U13=46125	V13=6	W13=46307	X13=杭州	Y13=标准工时制	Z13=2	AA13=按月	AB13=7000	AC13=2004	AD13=6504	AE13=当月	AF13=30号	AG13=深圳市	AH13=4	AI13=7000	AJ13=7000	AK13=5	AL13=杭州银行	AM13=7788168168164	AO13=北仑自营	AP13=全日制	AQ13=否	AR13=浙江企服	AS13=标准模板	AT13=是	AV13=是	AX13=否	AY13=上海外服
